strain	date	country	continent
AF164531.1			
AF164532.1			
AF164533.1			
AF164534.1			
AF164535.1			
AF164536.1			
AF164537.1			
AF164538.1			
AF164539.1			
AF164540.1			
AF164541.1			
AF164542.1			
AF164543.1			
AF164544.1			
AF164545.1			
AF164546.1			
AF164547.1			
AF164548.1			
AF164549.1			
AF164550.1			
AF164551.1			
AF164552.1			
AF164553.1			
AF164554.1			
AF164555.1			
AF164556.1			
AF164557.1			
AF164558.1			
AF312381.2			
AF441119.1			
AF484424.1			
AY117135.3		Brazil	South America
AY237111.1			
AY704559.1		Brazil	South America
AY704560.1		Brazil	South America
AY704561.1		Brazil	South America
AY704562.1		Brazil	South America
AY704563.1		Brazil	South America
AY704564.1		Brazil	South America
AY704565.1		Brazil	South America
AY704566.1		Brazil	South America
AY704567.1		Brazil	South America
AY704568.1		Brazil	South America
AY993909.1			
AY993910.1			
AY993911.1			
AY993912.1			
EF467368.1		Brazil	South America
EF467369.1		Brazil	South America
EF467370.1		Brazil	South America
EF467371.1		Brazil	South America
EF467372.1		Brazil	South America
EU561644.1		Brazil	South America
HM107840.1	2005	Brazil	South America
HM107841.1	2006	Brazil	South America
HM107842.1	2007	Brazil	South America
HM470101.1	1996	Brazil	South America
HM470102.1	1996	Brazil	South America
HM470103.1	1980	Brazil	South America
HM470104.1	1980	Brazil	South America
HM470105.1	1988	Brazil	South America
HM470106.1	1988	Brazil	South America
HM470107.1	1960	Brazil	South America
HM470108.1	1961	Brazil	South America
HM470109.1	1961	Brazil	South America
HM470110.1	1967	Brazil	South America
HM470111.1	1968	Brazil	South America
HM470112.1	1973	Brazil	South America
HM470113.1	1975	Brazil	South America
HM470114.1	1978	Brazil	South America
HM470115.1	1978	Brazil	South America
HM470116.1	1978	Brazil	South America
HM470117.1	1979	Brazil	South America
HM470118.1	1979	Brazil	South America
HM470119.1	1980	Brazil	South America
HM470120.1	1980	Brazil	South America
HM470121.1	1980	Brazil	South America
HM470122.1	1994	Brazil	South America
HM470123.1	1994	Brazil	South America
HM470124.1	1994	Brazil	South America
HM470125.1	1994	Brazil	South America
HM470126.1	1994	Brazil	South America
HM470127.1	1996	Brazil	South America
HM470128.1	1996	Brazil	South America
HM470129.1	1996	Brazil	South America
HM470130.1	1996	Brazil	South America
HM470131.1	1996	Brazil	South America
HM470132.1	1996	Brazil	South America
HM470133.1	2006	Brazil	South America
HM470134.1	2006	Brazil	South America
HM470135.1	2006	Brazil	South America
HM470136.1	2006	Brazil	South America
HM470137.1	2006	Brazil	South America
HM470138.1	2006	Brazil	South America
HM470139.1	1990	Brazil	South America
HM470140.1	1991	Brazil	South America
HM470141.1	1991	Brazil	South America
HM470142.1	1991	Brazil	South America
HQ830373.1	1960		
HQ830374.1	1961		
HQ830375.1	1961		
HQ830376.1	1967		
HQ830377.1	1968		
HQ830378.1	1971		
HQ830379.1	1971		
HQ830380.1	1971		
HQ830381.1	1978		
HQ830382.1	1979		
HQ830383.1	1980		
HQ830384.1	1980		
HQ830385.1	1980		
HQ830386.1	1988		
HQ830387.1	1988		
HQ830388.1	1988		
HQ830389.1	1991		
HQ830390.1	1993		
HQ830391.1	1994		
HQ830392.1	1994		
HQ830393.1	1994		
HQ830394.1	1994		
HQ830395.1	1994		
HQ830396.1	1996		
HQ830397.1	1996		
HQ830398.1	1996		
HQ830399.1	1996		
HQ830400.1	2003		
HQ830401.1	2000		
HQ830402.1	2003		
HQ830403.1	2004		
HQ830404.1	2004		
HQ830405.1	2006		
HQ830406.1	2006		
HQ830407.1	2006		
HQ830408.1	1960		
HQ830409.1	1961		
HQ830410.1	1961		
HQ830411.1	1967		
HQ830412.1	1968		
HQ830413.1	1971		
HQ830414.1	1971		
HQ830415.1	1971		
HQ830416.1	1978		
HQ830417.1	1979		
HQ830418.1	1980		
HQ830419.1	1980		
HQ830420.1	1980		
HQ830421.1	1988		
HQ830422.1	1988		
HQ830423.1	1988		
HQ830424.1	1991		
HQ830425.1	1993		
HQ830426.1	1994		
HQ830427.1	1994		
HQ830428.1	1994		
HQ830429.1	1994		
HQ830430.1	1994		
HQ830431.1	1996		
HQ830432.1	1996		
HQ830433.1	1996		
HQ830434.1	1996		
HQ830435.1	2003		
HQ830436.1	2000		
HQ830437.1	2003		
HQ830438.1	2004		
HQ830439.1	2004		
HQ830440.1	2006		
HQ830441.1	2006		
HQ830442.1	2006		
HQ830443.1	1968		
HQ830444.1	1973		
HQ830445.1	1975		
HQ830446.1	1978		
HQ830447.1	1978		
HQ830448.1	1979		
HQ830449.1	1979		
HQ830450.1	1980		
HQ830451.1	1980		
HQ830452.1	1980		
HQ830453.1	1980		
HQ830454.1			
HQ830455.1	1988		
HQ830456.1	1988		
HQ830457.1	1990		
HQ830458.1	1991		
HQ830459.1	1991		
HQ830460.1	1991		
HQ830461.1	1994		
HQ830462.1	1994		
HQ830463.1	1994		
HQ830464.1	1994		
HQ830465.1	1996		
HQ830466.1	1996		
HQ830467.1	1996		
HQ830468.1	1996		
HQ830469.1	1996		
HQ830470.1	1996		
HQ830471.1	1996		
HQ830472.1	1996		
HQ830473.1	2006		
HQ830474.1	2006		
HQ830475.1	2006		
HQ830476.1	2006		
HQ830477.1	2006		
HQ830478.1	2009		
HQ830479.1	2009		
HQ830480.1	2009		
HQ830481.1	2009		
HQ830482.1	2009		
HQ830483.1	2009		
HQ830484.1	2009		
HQ830485.1	2009		
HQ830486.1	2009		
HQ830487.1	2009		
HQ830488.1	2009		
HQ830489.1	2009		
HQ830490.1	2009		
HQ830491.1	2009		
HQ830492.1	2009	Brazil	South America
KC759122.1		Trinidad and Tobago	North America
KC759123.1		Trinidad and Tobago	North America
KC759124.1		Trinidad and Tobago	North America
KC759125.1		Peru	South America
KC759126.1		Peru	South America
KC759127.1		Peru	South America
KC759128.1		Panama	North America
KC759129.1		Panama	North America
KC759130.1		Panama	North America
KF150505.1	2004	Ecuador	South America
KF150506.1	2003	Peru	South America
KF150507.1	2005	Peru	South America
KF150508.1	2005	Peru	South America
KF150509.1	2005	Peru	South America
KF150510.1	2005	Peru	South America
KF150511.1	2005	Peru	South America
KF150512.1	2005	Peru	South America
KF150513.1	2005	Peru	South America
KF150514.1	2006	Peru	South America
KF150515.1	2006	Peru	South America
KF150516.1	2006	Peru	South America
KF150517.1	2006	Peru	South America
KF150518.1	2006	Peru	South America
KF150519.1	2006	Peru	South America
KF150520.1	2006	Peru	South America
KF150521.1	1999	Peru	South America
KF150522.1	2005	Peru	South America
KF150523.1	2005	Peru	South America
KF150524.1	2005	Peru	South America
KF150525.1	2005	Peru	South America
KF150526.1	2005	Peru	South America
KF150527.1	2005	Peru	South America
KF150528.1	2005	Peru	South America
KF150529.1	2006	Peru	South America
KF150530.1	2006	Peru	South America
KF150531.1	2006	Peru	South America
KF150532.1	2006	Peru	South America
KF150533.1	2006	Peru	South America
KF150534.1	2006	Peru	South America
KF150535.1	2006	Peru	South America
KF150536.1	1999	Peru	South America
KF697142.1	1999	Peru	South America
KF697143.1	1999	Peru	South America
KF697144.1	1999	Peru	South America
KF697145.1	2007	Peru	South America
KF697146.1	2007	Peru	South America
KF697147.1	2007	Peru	South America
KJ866386.1	2009-01-27	Peru	South America
KJ866387.1	2009-01-27	Peru	South America
KJ866388.1	2009-01-27	Peru	South America
KJ866389.1	2010	Venezuela	South America
KJ866390.1	2010	Venezuela	South America
KJ866391.1	2010	Venezuela	South America
KP026179.1	1955	Trinidad and Tobago	North America
KP026180.1	1955	Trinidad and Tobago	North America
KP026181.1	1955	Trinidad and Tobago	North America
KP052850.1	1960	Brazil	South America
KP052851.1	1960	Brazil	South America
KP052852.1	1960	Brazil	South America
KP310500.1	2013	Brazil	South America
KP310501.1	2013	Brazil	South America
KP310502.1	2013	Brazil	South America
KP310503.1	2013	Brazil	South America
KP310504.1	2013	Brazil	South America
KP310505.1	2013	Brazil	South America
KP310506.1	2013	Brazil	South America
KP310507.1	2013	Brazil	South America
KP347671.1	2012	Brazil	South America
KP347672.1	2012	Brazil	South America
KP347673.1	2012	Brazil	South America
KP347674.1	2012	Brazil	South America
KP691603.1	2009-07-24	Brazil	South America
KP691604.1	2009-07-24	Brazil	South America
KP691605.1	2009-07-24	Brazil	South America
KP691606.1	2009-07-23	Brazil	South America
KP691607.1	2009-07-23	Brazil	South America
KP691608.1	2009-07-23	Brazil	South America
KP691609.1	2009-07-24	Brazil	South America
KP691610.1	2009-07-24	Brazil	South America
KP691611.1	2009-07-24	Brazil	South America
KP691612.1	2009-07-24	Brazil	South America
KP691613.1	2009-07-24	Brazil	South America
KP691614.1	2009-07-24	Brazil	South America
KP691615.1	2009-07-23	Brazil	South America
KP691616.1	2009-07-23	Brazil	South America
KP691617.1	2009-07-23	Brazil	South America
KP691618.1	2009-06-17	Brazil	South America
KP691619.1	2009-06-17	Brazil	South America
KP691620.1	2009-06-17	Brazil	South America
KP691621.1	2009-06-23	Brazil	South America
KP691622.1	2009-06-23	Brazil	South America
KP691623.1	2009-06-23	Brazil	South America
KP691624.1	2012	Brazil	South America
KP691625.1	2012	Brazil	South America
KP691626.1	2012	Brazil	South America
KP691627.1	2012	Brazil	South America
KP691628.1	2012	Brazil	South America
KP691629.1	2012	Brazil	South America
KP691630.1	2009-08-20	Brazil	South America
KP691631.1	2009-08-20	Brazil	South America
KP691632.1	2009-08-20	Brazil	South America
KP795072.1	1992-04	Peru	South America
KP795073.1	1992-04	Peru	South America
KP795074.1	1992-04	Peru	South America
KP795075.1	1989	Panama	North America
KP795076.1	1989	Panama	North America
KP795077.1	1989	Panama	North America
KP795078.1	1989-08	Panama	North America
KP795079.1	1989-08	Panama	North America
KP795080.1	1989-08	Panama	North America
KP795081.1	1989	Panama	North America
KP795082.1	1989	Panama	North America
KP795083.1	1989	Panama	North America
KP795084.1	2008-03	Peru	South America
KP795085.1	2008-03	Peru	South America
KP795086.1	2008-03	Peru	South America
KP795087.1	1995-06	Peru	South America
KP795088.1	1995-06	Peru	South America
KP795089.1	1995-06	Peru	South America
KP795090.1	1997-08	Peru	South America
KP795091.1	1997-08	Peru	South America
KP795092.1	1997-08	Peru	South America
KP795093.1	1998-04	Peru	South America
KP795094.1	1998-04	Peru	South America
KP795095.1	1998-04	Peru	South America
KP795096.1	1994-02	Peru	South America
KP795097.1	1994-02	Peru	South America
KP795098.1	1994-02	Peru	South America
KP795099.1	2000-05	Peru	South America
KP795100.1	2000-05	Peru	South America
KP795101.1	2000-05	Peru	South America
KP795102.1	1999-10	Panama	North America
KP795103.1	1999-10	Panama	North America
KP795104.1	1999-10	Panama	North America
KP954633.1	2012	Brazil	South America
MF155931.1	2016	Brazil	South America
MF620127.1	1961-01-13		
MF620128.1	1961-01-13		
MF620129.1	1961-01-13		
MF926352.1	2016-04-01	Ecuador	South America
MF926353.1	2016-04-01	Ecuador	South America
MF926354.1	2016-04-01	Ecuador	South America
MG100825.1	2013	Brazil	South America
MG100826.1	2013	Brazil	South America
MG591459.1	2017	Brazil	South America
MG747503.1	1996	Brazil	South America
MG747504.1	1996	Brazil	South America
MG747505.1	1996	Brazil	South America
MG747506.1	1980	Brazil	South America
MG747507.1	1980	Brazil	South America
MG747508.1	1980	Brazil	South America
MG747509.1	1980	Brazil	South America
MG747510.1	1980	Brazil	South America
MG747511.1	1980	Brazil	South America
MG747512.1	1988	Brazil	South America
MG747513.1	1988	Brazil	South America
MG747514.1	1988	Brazil	South America
MG747515.1	1988	Brazil	South America
MG747516.1	1988	Brazil	South America
MG747517.1	1988	Brazil	South America
MG747518.1	1993	Brazil	South America
MG747519.1	1993	Brazil	South America
MG747520.1	1993	Brazil	South America
MG747521.1	2000	Brazil	South America
MG747522.1	2000	Brazil	South America
MG747523.1	2000	Brazil	South America
MG747524.1	1960	Brazil	South America
MG747525.1	1960	Brazil	South America
MG747526.1	1960	Brazil	South America
MG747527.1	1961	Brazil	South America
MG747528.1	1961	Brazil	South America
MG747529.1	1961	Brazil	South America
MG747530.1	1961	Brazil	South America
MG747531.1	1961	Brazil	South America
MG747532.1	1961	Brazil	South America
MG747533.1	1967	Brazil	South America
MG747534.1	1967	Brazil	South America
MG747535.1	1967	Brazil	South America
MG747536.1	1968	Brazil	South America
MG747537.1	1968	Brazil	South America
MG747538.1	1968	Brazil	South America
MG747539.1	1971	Brazil	South America
MG747540.1	1971	Brazil	South America
MG747541.1	1971	Brazil	South America
MG747542.1	1971	Brazil	South America
MG747543.1	1971	Brazil	South America
MG747544.1	1971	Brazil	South America
MG747545.1	1971	Brazil	South America
MG747546.1	1971	Brazil	South America
MG747547.1	1971	Brazil	South America
MG747548.1	1978	Brazil	South America
MG747549.1	1978	Brazil	South America
MG747550.1	1978	Brazil	South America
MG747551.1	1979	Brazil	South America
MG747552.1	1979	Brazil	South America
MG747553.1	1979	Brazil	South America
MG747554.1	1980	Brazil	South America
MG747555.1	1980	Brazil	South America
MG747556.1	1980	Brazil	South America
MG747557.1	1994	Brazil	South America
MG747558.1	1994	Brazil	South America
MG747559.1	1994	Brazil	South America
MG747560.1	1994	Brazil	South America
MG747561.1	1994	Brazil	South America
MG747562.1	1994	Brazil	South America
MG747563.1	1994	Brazil	South America
MG747564.1	1994	Brazil	South America
MG747565.1	1994	Brazil	South America
MG747566.1	1994	Brazil	South America
MG747567.1	1994	Brazil	South America
MG747568.1	1994	Brazil	South America
MG747569.1	1994	Brazil	South America
MG747570.1	1994	Brazil	South America
MG747571.1	1994	Brazil	South America
MG747572.1	1996	Brazil	South America
MG747573.1	1996	Brazil	South America
MG747574.1	1996	Brazil	South America
MG747575.1	1996	Brazil	South America
MG747576.1	1996	Brazil	South America
MG747577.1	1996	Brazil	South America
MG747578.1	1996	Brazil	South America
MG747579.1	1996	Brazil	South America
MG747580.1	1996	Brazil	South America
MG747581.1	2003	Brazil	South America
MG747582.1	2003	Brazil	South America
MG747583.1	2003	Brazil	South America
MG747584.1	2003	Brazil	South America
MG747585.1	2003	Brazil	South America
MG747586.1	2003	Brazil	South America
MG747587.1	2004	Brazil	South America
MG747588.1	2004	Brazil	South America
MG747589.1	2004	Brazil	South America
MG747590.1	2004	Brazil	South America
MG747591.1	2004	Brazil	South America
MG747592.1	2004	Brazil	South America
MG747593.1	2006	Brazil	South America
MG747594.1	2006	Brazil	South America
MG747595.1	2006	Brazil	South America
MG747596.1	2006	Brazil	South America
MG747597.1	2006	Brazil	South America
MG747598.1	2006	Brazil	South America
MG747599.1	2006	Brazil	South America
MG747600.1	2006	Brazil	South America
MG747601.1	2006	Brazil	South America
MG747602.1	1990	Brazil	South America
MG747603.1	1990	Brazil	South America
MG747604.1	1990	Brazil	South America
MG747605.1	1991	Brazil	South America
MG747606.1	1991	Brazil	South America
MG747607.1	1991	Brazil	South America
MH331012.1	2015-03	Brazil	South America
MH337267.1	2015-05	Brazil	South America
MH337268.1	2015-04	Brazil	South America
MH337269.1	2015-05	Brazil	South America
MH337270.1	2015-03	Brazil	South America
MH337271.1	2015-02	Brazil	South America
MH337272.1	2015-02	Brazil	South America
MK506818.1	2016-04	Ecuador	South America
MK506819.1	2016-04	Ecuador	South America
MK506820.1	2016-04	Ecuador	South America
MK506821.1	2016-04	Ecuador	South America
MK506822.1	2016-04	Ecuador	South America
MK506823.1	2016-04	Ecuador	South America
MK506824.1	2016-04	Ecuador	South America
MK506825.1	2016-04	Ecuador	South America
MK506826.1	2016-04	Ecuador	South America
MK506827.1	2016-04	Ecuador	South America
MK506828.1	2016-04	Ecuador	South America
MK506829.1	2016-04	Ecuador	South America
MK506830.1	2016-04	Ecuador	South America
MK506831.1	2016-04	Ecuador	South America
MK506832.1	2016-04	Ecuador	South America
MK643115.1	2017	Colombia	South America
MK643116.1	2017	Colombia	South America
MK643117.1	2017	Colombia	South America
MK875765.1	2017	Brazil	South America
MK875766.1	2017	Brazil	South America
MK875767.1	2017	Brazil	South America
MK875768.1	2017	Brazil	South America
MK875769.1	2017	Brazil	South America
MK875770.1	2017	Brazil	South America
MN264267.1	2014-05-26	Haiti	North America
MN264268.1	2014-05-26	Haiti	North America
MN264269.1	2014-05-26	Haiti	North America
MN419356.1	2016-04-11	Brazil	South America
MN419357.1	2016-04-11	Brazil	South America
MN419358.1	2016-04-11	Brazil	South America
MT247713.1	2017	Brazil	South America
MT247714.1	2018	Brazil	South America
MT338561.1		Brazil	South America
MT338562.1	2017	Brazil	South America
MT338563.1	2017	Brazil	South America
MT879228.1	2018-03-30	Brazil	South America
MT879229.1	2018-03-30	Brazil	South America
MT879230.1	2018-03-30	Brazil	South America
MW507588.1	2019-01	Brazil	South America
NC_005775.1			
NC_005776.1			
NC_005777.1			
OL689332.1	2020-09-17	French Guiana	South America
OL689333.1	2020-09-17	French Guiana	South America
OL689334.1	2020-09-17	French Guiana	South America
OP244877.1	2020	Colombia	South America
OP244878.1	2020	Colombia	South America
OP244879.1	2020	Colombia	South America
OP244880.1	2021	Colombia	South America
OP244881.1	2021	Colombia	South America
OP244882.1	2021	Colombia	South America
OP244883.1	2021	Colombia	South America
OP244884.1	2021	Colombia	South America
OP244885.1	2021	Colombia	South America
OP407852.1	2009-06-22	Brazil	South America
OP407853.1	2009-06-22	Brazil	South America
OP407854.1	2009-06-22	Brazil	South America
OR500484.1	2022-11-16	Brazil	South America
OR500485.1	2023-02-02	Brazil	South America
OR500486.1	2023-02-16	Brazil	South America
OR500487.1	2023-02-14	Brazil	South America
OR500488.1	2023-02-06	Brazil	South America
OR500489.1	2022-02-01	Brazil	South America
OR500490.1	2023-02-02	Brazil	South America
OR500491.1	2022-01-25	Brazil	South America
OR500492.1	2023-03-08	Brazil	South America
OR500493.1	2022-11-16	Brazil	South America
OR500494.1	2022-11-16	Brazil	South America
OR500495.1	2022-11-16	Brazil	South America
OR500496.1	2023-03-09	Brazil	South America
OR500497.1	2022-11-16	Brazil	South America
OR500498.1	2023-02-02	Brazil	South America
OR500499.1	2023-02-16	Brazil	South America
OR500500.1	2023-02-14	Brazil	South America
OR500501.1	2023-02-06	Brazil	South America
OR500502.1	2022-02-01	Brazil	South America
OR500503.1	2023-02-02	Brazil	South America
OR500504.1	2022-01-25	Brazil	South America
OR500505.1	2023-03-08	Brazil	South America
OR500506.1	2022-11-16	Brazil	South America
OR500507.1	2022-11-16	Brazil	South America
OR500508.1	2022-11-16	Brazil	South America
OR500509.1	2023-03-09	Brazil	South America
PP153945.1	2023-05-11	Brazil	South America
PP153946.1	2023-05-11	Brazil	South America
PP153947.1	2023-05-11	Brazil	South America
PP153948.1	2023-03-02	Brazil	South America
PP153949.1	2023-03-02	Brazil	South America
PP153950.1	2023-03-02	Brazil	South America
PP153951.1	2023-01-09	Brazil	South America
PP153952.1	2023-01-09	Brazil	South America
PP153953.1	2023-01-09	Brazil	South America
PP153954.1	2023-03-23	Brazil	South America
PP153955.1	2023-03-23	Brazil	South America
PP153956.1	2023-03-23	Brazil	South America
PP153957.1	2023-03-14	Brazil	South America
PP153958.1	2023-03-14	Brazil	South America
PP153959.1	2023-03-14	Brazil	South America
PP153960.1	2023-03-09	Brazil	South America
PP153961.1	2023-03-09	Brazil	South America
PP153962.1	2023-03-09	Brazil	South America
PP153963.1	2023-03-08	Brazil	South America
PP153964.1	2023-03-08	Brazil	South America
PP153965.1	2023-03-08	Brazil	South America
PP153966.1	2023-02-14	Brazil	South America
PP153967.1	2023-02-14	Brazil	South America
PP153968.1	2023-02-14	Brazil	South America
PP153969.1	2023-02-06	Brazil	South America
PP153970.1	2023-02-06	Brazil	South America
PP153971.1	2023-02-06	Brazil	South America
PP153972.1	2023-02-01	Brazil	South America
PP153973.1	2023-02-01	Brazil	South America
PP153974.1	2023-02-01	Brazil	South America
PP153975.1	2023-01-25	Brazil	South America
PP153976.1	2023-01-25	Brazil	South America
PP153977.1	2022-10-31	Brazil	South America
PP153978.1	2022-10-31	Brazil	South America
PP153979.1	2022-10-31	Brazil	South America
PP153980.1	2023-01-25	Brazil	South America
PP153981.1	2022-08-30	Brazil	South America
PP153982.1	2022-08-30	Brazil	South America
PP153983.1	2022-08-30	Brazil	South America
PP153984.1	2023-08-07	Brazil	South America
PP153985.1	2023-08-07	Brazil	South America
PP153986.1	2023-08-07	Brazil	South America
PP153987.1	2023-08-08	Brazil	South America
PP153988.1	2023-08-08	Brazil	South America
PP153989.1	2023-08-08	Brazil	South America
PP153990.1	2023-08-09	Brazil	South America
PP153991.1	2023-08-09	Brazil	South America
PP153992.1	2023-08-09	Brazil	South America
PP153993.1	2023-02-13	Brazil	South America
PP153994.1	2023-02-13	Brazil	South America
PP153995.1	2023-02-13	Brazil	South America
PP153996.1	2023-02-16	Brazil	South America
PP153997.1	2023-02-16	Brazil	South America
PP153998.1	2023-02-16	Brazil	South America
PP153999.1	2023-02-10	Brazil	South America
PP154000.1	2023-02-10	Brazil	South America
PP154001.1	2023-02-10	Brazil	South America
PP154002.1	2023-02-09	Brazil	South America
PP154003.1	2023-02-09	Brazil	South America
PP154004.1	2023-02-09	Brazil	South America
PP154005.1	2023-02-02	Brazil	South America
PP154006.1	2023-02-02	Brazil	South America
PP154007.1	2023-02-02	Brazil	South America
PP154008.1	2023-02-01	Brazil	South America
PP154009.1	2023-02-01	Brazil	South America
PP154010.1	2023-02-01	Brazil	South America
PP154011.1	2023-01-31	Brazil	South America
PP154012.1	2023-01-31	Brazil	South America
PP154013.1	2023-01-31	Brazil	South America
PP154014.1	2023-02-18	Brazil	South America
PP154015.1	2023-02-18	Brazil	South America
PP154016.1	2023-02-18	Brazil	South America
PP154017.1	2023-03-02	Brazil	South America
PP154018.1	2023-03-02	Brazil	South America
PP154019.1	2023-03-02	Brazil	South America
PP154020.1	2023-04-18	Brazil	South America
PP154021.1	2023-04-18	Brazil	South America
PP154022.1	2023-04-18	Brazil	South America
PP154023.1	2023-03-16	Brazil	South America
PP154024.1	2023-03-16	Brazil	South America
PP154025.1	2023-03-16	Brazil	South America
PP154026.1	2023-03-14	Brazil	South America
PP154027.1	2023-03-14	Brazil	South America
PP154028.1	2023-03-14	Brazil	South America
PP154029.1	2023-03-21	Brazil	South America
PP154030.1	2023-03-21	Brazil	South America
PP154031.1	2023-03-21	Brazil	South America
PP154032.1	2023-03-30	Brazil	South America
PP154033.1	2023-03-30	Brazil	South America
PP154034.1	2023-03-30	Brazil	South America
PP154035.1	2023-04-05	Brazil	South America
PP154036.1	2023-04-05	Brazil	South America
PP154037.1	2023-04-05	Brazil	South America
PP154038.1	2023-05-10	Brazil	South America
PP154039.1	2023-05-10	Brazil	South America
PP154040.1	2023-05-10	Brazil	South America
PP154041.1	2023-12-11	Brazil	South America
PP154042.1	2023-12-11	Brazil	South America
PP154043.1	2023-12-11	Brazil	South America
PP154044.1	2023-12-12	Brazil	South America
PP154045.1	2023-12-12	Brazil	South America
PP154046.1	2023-12-12	Brazil	South America
PP154047.1	2023-12-12	Brazil	South America
PP154048.1	2023-12-12	Brazil	South America
PP154049.1	2023-12-12	Brazil	South America
PP154050.1	2023-12-11	Brazil	South America
PP154051.1	2023-12-11	Brazil	South America
PP154052.1	2023-12-11	Brazil	South America
PP154053.1	2023-12-11	Brazil	South America
PP154054.1	2023-12-11	Brazil	South America
PP154055.1	2023-12-11	Brazil	South America
PP154056.1	2023-12-11	Brazil	South America
PP154057.1	2023-12-11	Brazil	South America
PP154058.1	2023-12-11	Brazil	South America
PP154059.1	2023-12-11	Brazil	South America
PP154060.1	2023-12-11	Brazil	South America
PP154061.1	2023-12-11	Brazil	South America
PP154062.1	2023-12-11	Brazil	South America
PP154063.1	2023-12-11	Brazil	South America
PP154064.1	2023-12-11	Brazil	South America
PP154065.1	2023-12-10	Brazil	South America
PP154066.1	2023-12-10	Brazil	South America
PP154067.1	2023-12-10	Brazil	South America
PP154068.1	2023-12-09	Brazil	South America
PP154069.1	2023-12-09	Brazil	South America
PP154070.1	2023-12-09	Brazil	South America
PP154071.1	2023-12-08	Brazil	South America
PP154072.1	2023-12-08	Brazil	South America
PP154073.1	2023-12-08	Brazil	South America
PP154074.1	2023-12-08	Brazil	South America
PP154075.1	2023-12-08	Brazil	South America
PP154076.1	2023-12-08	Brazil	South America
PP154077.1	2023-12-08	Brazil	South America
PP154078.1	2023-12-08	Brazil	South America
PP154079.1	2023-12-08	Brazil	South America
PP154080.1	2023-12-09	Brazil	South America
PP154081.1	2023-12-09	Brazil	South America
PP154082.1	2023-12-09	Brazil	South America
PP154083.1	2023-12-09	Brazil	South America
PP154084.1	2023-12-09	Brazil	South America
PP154085.1	2023-12-09	Brazil	South America
PP154086.1	2023-12-08	Brazil	South America
PP154087.1	2023-12-08	Brazil	South America
PP154088.1	2023-12-08	Brazil	South America
PP154089.1	2023-12-10	Brazil	South America
PP154090.1	2023-12-10	Brazil	South America
PP154091.1	2023-12-10	Brazil	South America
PP154092.1	2023-12-10	Brazil	South America
PP154093.1	2023-12-10	Brazil	South America
PP154094.1	2023-12-10	Brazil	South America
PP154095.1	2023-12-10	Brazil	South America
PP154096.1	2023-12-10	Brazil	South America
PP154097.1	2023-12-10	Brazil	South America
PP154098.1	2023-12-10	Brazil	South America
PP154099.1	2023-12-10	Brazil	South America
PP154100.1	2023-12-10	Brazil	South America
PP154101.1	2023-12-06	Brazil	South America
PP154102.1	2023-12-06	Brazil	South America
PP154103.1	2023-12-06	Brazil	South America
PP154104.1	2023-12-04	Brazil	South America
PP154105.1	2023-12-04	Brazil	South America
PP154106.1	2023-12-04	Brazil	South America
PP154107.1	2023-12-04	Brazil	South America
PP154108.1	2023-12-04	Brazil	South America
PP154109.1	2023-12-04	Brazil	South America
PP154110.1	2023-12-03	Brazil	South America
PP154111.1	2023-12-03	Brazil	South America
PP154112.1	2023-12-03	Brazil	South America
PP154113.1	2023-12-02	Brazil	South America
PP154114.1	2023-12-02	Brazil	South America
PP154115.1	2023-12-02	Brazil	South America
PP154116.1	2023-12-02	Brazil	South America
PP154117.1	2023-12-02	Brazil	South America
PP154118.1	2023-12-02	Brazil	South America
PP154119.1	2023-11-30	Brazil	South America
PP154120.1	2023-11-30	Brazil	South America
PP154121.1	2023-11-30	Brazil	South America
PP154122.1	2023-11-30	Brazil	South America
PP154123.1	2023-11-30	Brazil	South America
PP154124.1	2023-11-30	Brazil	South America
PP154125.1	2023-11-30	Brazil	South America
PP154126.1	2023-11-30	Brazil	South America
PP154127.1	2023-11-30	Brazil	South America
PP154128.1	2022-12-24	Brazil	South America
PP154129.1	2022-12-24	Brazil	South America
PP154130.1	2022-12-24	Brazil	South America
PP154131.1	2023-02-16	Brazil	South America
PP154132.1	2023-02-16	Brazil	South America
PP154133.1	2023-02-16	Brazil	South America
PP154134.1	2023-02-16	Brazil	South America
PP154135.1	2023-02-16	Brazil	South America
PP154136.1	2023-02-16	Brazil	South America
PP154137.1	2023-02-15	Brazil	South America
PP154138.1	2023-02-15	Brazil	South America
PP154139.1	2023-02-15	Brazil	South America
PP154140.1	2023-02-15	Brazil	South America
PP154141.1	2023-02-15	Brazil	South America
PP154142.1	2023-02-15	Brazil	South America
PP154143.1	2023-02-13	Brazil	South America
PP154144.1	2023-02-13	Brazil	South America
PP154145.1	2023-02-13	Brazil	South America
PP154146.1	2023-01-17	Brazil	South America
PP154147.1	2023-01-17	Brazil	South America
PP154148.1	2023-01-17	Brazil	South America
PP154149.1	2023-01-04	Brazil	South America
PP154150.1	2023-01-04	Brazil	South America
PP154151.1	2023-01-04	Brazil	South America
PP154152.1	2023-03-13	Brazil	South America
PP154153.1	2023-03-13	Brazil	South America
PP154154.1	2023-03-13	Brazil	South America
PP154155.1	2023-03-06	Brazil	South America
PP154156.1	2023-03-06	Brazil	South America
PP154157.1	2023-03-06	Brazil	South America
PP154158.1	2023-03-30	Brazil	South America
PP154159.1	2023-03-30	Brazil	South America
PP154160.1	2023-03-30	Brazil	South America
